project,HASH,DATE,Cyclomatic,PreDays,LA,LD,SIZE,SAME,CUR_file,PREV_file,Top_NS,Bottom_NS,NF,File_entropy,Churn_entropy,NC,NFC,Fuzzy_score,NB_score,NBM_score,DMN_score,COMP_score,crash_label
BrandroidTools_OpenExplorer,0ff39319efdc6cefb80f36cc4608c1cb1e665c4d,2012-03-07,9869,5.0,203,137,45462,23,23,155,1,3,3,1.14883485428092,1.03024878420801,7,0,0.4999999943422274,0.119271080601582,0.119271080601582,0.119271080601582,0.4439601632072321,NON_CRASH
BrandroidTools_OpenExplorer,79237243fe09ee058453130e12ab8e86c01d47f5,2012-03-11,10308,4.0,1281,10,47052,18,18,23,1,3,5,2.32192809488736,0.267186136612098,5,0,0.4510042069235883,0.1843620432759126,0.1843620432759126,0.1843620432759126,0.5713048173629095,NON_CRASH
BrandroidTools_OpenExplorer,d3ae328a84cf29c811ff3ec3b1014c54759af1ae,2012-03-13,10365,2.0,499,1,47373,3,3,18,1,2,2,1.0,0.0376223603222784,2,0,0.4999849234170555,0.0027031409416625,0.0027031409416625,0.0027031409416625,0.0157154308488235,NON_CRASH
BrandroidTools_OpenExplorer,12e2d97acd22eea01f93ea0483c536faa3211959,2012-03-16,10432,3.0,652,77,47670,3,13,3,1,5,7,2.8073549220576,1.43350640032977,7,0,0.4929487567122968,0.0229003425431535,0.0229003425431535,0.0229003425431535,0.1213108774387934,NON_CRASH
BrandroidTools_OpenExplorer,b7444e5f270c9e083a4c42d9e311bfb53e4e1930,2012-03-20,10335,4.0,12,12,47247,13,13,13,1,2,3,1.58496250072116,1.2987949406954,3,0,0.499999999975961,0.9999818955832966,0.9999818955832966,0.9999818955832966,0.999996929240066,CRASH
BrandroidTools_OpenExplorer,0c7dfa38fb94f9ad0478ecc45b6a9388b7b6cfe3,2012-03-23,17658,3.0,906,55,81494,13,281,13,1,7,9,3.08496250072116,2.05465607190468,12,0,0.4948003065475072,0.1285109497448821,0.1285109497448821,0.1285109497448821,0.4650711603481045,NON_CRASH
BrandroidTools_OpenExplorer,8dfc3a91e291450c0d0203398cd8c658466b34fa,2012-03-26,17664,3.0,1,1,81504,3,3,281,1,1,1,0.0,0.0,1,0,0.4110180405133053,0.0746886280671347,0.0746886280671347,0.0746886280671347,0.3224453461975008,NON_CRASH
BrandroidTools_OpenExplorer,46f026e745cb16a904acb27ec3c93b6a7567e72d,2012-03-27,17706,1.0,0,0,81714,0,0,11,0,0,0,0.0,0.0,0,0,0.4957878308233436,0.228185742146364,0.228185742146364,0.228185742146364,0.6352434432769816,CRASH
BrandroidTools_OpenExplorer,175cc2f13dc0341d4945dfaa294d330a2b5501fd,2012-03-27,17706,0.0,37,83,81714,3,11,3,1,1,2,1.0,0.870864469235365,2,0,0.499999999975,0.999996925041226,0.999996925041226,0.999996925041226,0.999999478450854,NON_CRASH
BrandroidTools_OpenExplorer,0125458cdad1fb4d82447112c45bf043fd3e1512,2012-04-01,17959,5.0,383,215,82629,0,42,0,1,9,17,4.02192809488736,3.3576806311292,20,0,0.4999999999854027,0.961140910817277,0.961140910817277,0.961140910817277,0.9931833092823436,CRASH
BrandroidTools_OpenExplorer,7b69a265ecbe2dc47910df0860c9c0a79a7c5ee9,2012-04-03,18002,2.0,514,229,82794,15,15,42,1,4,10,3.07781953111478,2.10745248491281,16,0,0.4700257855153625,0.4654761083724957,0.4654761083724957,0.4654761083724957,0.836980402008067,NON_CRASH
BrandroidTools_OpenExplorer,09c16abc141dd7543da7c414781440e0e588eb8f,2012-04-03,18044,0.0,39,9,83019,9,9,15,1,2,2,1.0,0.979868756651153,2,0,0.3745041500689529,0.1380393121910995,0.1380393121910995,0.1380393121910995,0.4854268677014466,NON_CRASH
BrandroidTools_OpenExplorer,e450d07fafe1aa63028317547077d39ba2b7b982,2012-04-04,18041,1.0,51,42,83022,7,7,9,1,1,2,1.0,0.882601330844994,2,0,0.4865065143666309,0.4726244780345608,0.4726244780345608,0.4726244780345608,0.8408591067444884,NON_CRASH
BrandroidTools_OpenExplorer,d146abff2755c8a97cda168b7062f3c8a31eefab,2012-04-04,18096,0.0,23,47,83325,7,11,7,1,2,2,1.0,0.371232326640876,2,0,0.49994994557853,0.981499270899102,0.981499270899102,0.981499270899102,0.9968131075698928,NON_CRASH
BrandroidTools_OpenExplorer,347e73e7236c0ab471bdcd62f7a54a722c5ce2df,2012-04-05,18164,1.0,191,86,83633,11,18,11,1,4,6,2.52164063634332,1.70401722328989,7,0,0.4955531496457093,0.0137388059165662,0.0137388059165662,0.0137388059165662,0.0758347167804295,NON_CRASH
BrandroidTools_OpenExplorer,ac1a078c65b0a7446fb0ccd17a7c6dc90e8c4768,2012-04-06,18194,1.0,111,10,83747,11,11,18,1,3,3,1.5,1.25912071407012,4,0,0.4992137647882725,0.6318990041178231,0.6318990041178231,0.6318990041178231,0.910080490764904,NON_CRASH
BrandroidTools_OpenExplorer,b4556683ce885a522f1a3aa79e67e44fd6b211c0,2012-04-06,18195,0.0,8,3,83748,4,4,11,1,2,2,1.0,0.94566030460064,2,0,0.4999942207028187,0.9972624600477528,0.9972624600477528,0.9972624600477528,0.9995342130863042,NON_CRASH
BrandroidTools_OpenExplorer,d78f84e1003417603547491456bca7a15c8ddcb0,2012-04-14,18153,8.0,5,3,83269,19,19,41,1,2,2,1.0,0.811278124459133,2,0,0.5000000000350951,0.9999029568132592,0.9999029568132592,0.9999029568132592,0.9999835244976598,CRASH
BrandroidTools_OpenExplorer,76f0dad3e077c19351de31314407ae83b40e6f7b,2012-04-14,18139,0.0,213,150,83218,4,41,4,1,8,11,3.24022392894185,1.50962200486375,15,0,0.5079524851352821,0.9998519117069758,0.9998519117069758,0.9998519117069758,0.999974879461919,CRASH
BrandroidTools_OpenExplorer,d4ac17e64c325b3cf224fbe09de7af32359859a7,2012-04-15,18154,1.0,8,4,83273,9,9,19,1,2,2,1.0,0.650022421648354,2,0,0.499999999975011,0.9999999999910189,0.9999999999910189,0.9999999999910189,0.999999999998522,CRASH
BrandroidTools_OpenExplorer,0f382e98a24b31b67aa05db0717c78d1bb62e15b,2012-04-20,18372,5.0,583,143,84107,9,31,9,1,8,18,3.9462227768166,3.20793071105804,26,0,0.4999999999751795,0.9827626731289728,0.9827626731289728,0.9827626731289728,0.9970312838610572,NON_CRASH
BrandroidTools_OpenExplorer,5e56eea2ebb749f394b417d6406bc88c91f13f15,2012-04-22,18480,2.0,457,93,84561,25,25,31,1,5,7,2.75,1.86574590762038,8,0,0.499999999975,0.9998641216333436,0.9998641216333436,0.9998641216333436,0.9999769305129214,NON_CRASH
BrandroidTools_OpenExplorer,b80b9bb6f1611f6557a998b7e921e7d7e69b7959,2012-05-01,19843,9.0,945,779,90282,25,139,25,1,11,22,4.10138152909289,3.3725561410667,33,0,0.4983630741286884,0.7876655033606278,0.7876655033606278,0.7876655033606278,0.9562762980742032,NON_CRASH
BrandroidTools_OpenExplorer,1881038c978bf63260d826ad562d46a9f4323dd4,2012-05-02,20114,1.0,997,6,91455,23,23,139,1,4,5,2.25162916738782,0.490777434192109,6,0,0.4999954755175546,0.1720412239570662,0.1720412239570662,0.1720412239570662,0.550580553711946,NON_CRASH
BrandroidTools_OpenExplorer,ff22a5095b31f6c136abb6ddfe868e4f27bed90e,2012-05-06,20310,4.0,586,13,92304,23,35,23,1,7,9,3.12192809488736,1.7187082134255,10,0,0.5000003674426472,0.9637214549633256,0.9637214549633256,0.9637214549633256,0.9936500483952412,NON_CRASH
BrandroidTools_OpenExplorer,c4c17d489ce9f6a9d870b218b306831fd746b077,2012-05-08,20425,2.0,370,200,92666,26,26,35,1,6,11,3.26393342948563,2.78275742385167,17,0,0.4762045250180066,0.0127008885345887,0.0127008885345887,0.0127008885345887,0.070440725900752,NON_CRASH
BrandroidTools_OpenExplorer,8783b28872bcff86448d621f086dc24f8b4314e7,2012-05-09,20922,1.0,498,1,95308,26,35,26,1,3,3,1.58496250072116,1.02058148822665,3,0,0.4999998585987508,0.4694726330959496,0.4694726330959496,0.4694726330959496,0.8390397398390935,NON_CRASH
BrandroidTools_OpenExplorer,e8cce9920583eaea2e7d3227fa43966a24767a83,2012-05-12,21119,3.0,774,280,96086,35,62,35,1,5,10,3.25162916738782,2.59284388428106,12,0,0.499999999975,0.9999938545302144,0.9999938545302144,0.9999938545302144,0.999998957653563,NON_CRASH
BrandroidTools_OpenExplorer,2ab507ecf2ce2cd5a788ba1f912c31852eb609e5,2012-05-17,21290,5.0,412,191,96905,29,29,62,1,5,8,2.69238060245497,2.09852075080599,14,0,0.4993048064009636,0.2745058805724216,0.2745058805724216,0.2745058805724216,0.6904802791232743,NON_CRASH
BrandroidTools_OpenExplorer,5a1ea4b1fe72e92e6fdfbc73a8ddc8550d27887c,2012-05-18,21446,1.0,202,68,97519,22,22,29,1,2,3,1.52192809488736,1.10642744717874,5,0,0.4999999999685787,0.9706103544786068,0.9706103544786068,0.9706103544786068,0.9948859924145614,NON_CRASH
BrandroidTools_OpenExplorer,9a89e92935d0d5493f67a0b1bde1a2783aa2637e,2012-05-22,21575,4.0,380,171,97994,22,50,22,1,4,9,3.09579525500093,2.47186261881422,11,0,0.4999999999692921,0.9997625428471876,0.9997625428471876,0.9997625428471876,0.999959716638684,NON_CRASH
BrandroidTools_OpenExplorer,a41e97a82034817e02c60b7556e31dac79f2c4dd,2012-05-25,21736,3.0,126,81,98398,36,36,50,1,5,9,2.92323142879762,2.62381203576788,15,0,0.4740432628491668,0.0940119158805474,0.0940119158805474,0.0940119158805474,0.3793654318989538,NON_CRASH
BrandroidTools_OpenExplorer,1553e91decd174d63deef43ca3e3b2c7474a165d,2012-05-25,21742,0.0,44,20,98430,6,6,36,1,1,2,1.0,0.543564443199596,2,0,0.499999956152979,0.9982594873668632,0.9982594873668632,0.9982594873668632,0.999704362090636,NON_CRASH
BrandroidTools_OpenExplorer,e30bd79bc2be2cf667f18614bbf6982f02ca450f,2012-05-28,21825,3.0,185,84,98769,6,19,6,1,6,7,2.75,1.69040158990532,8,0,0.5000002084447397,0.0126151078016035,0.0126151078016035,0.0126151078016035,0.0699926213159007,NON_CRASH
BrandroidTools_OpenExplorer,68c6e1a3380179fd544bf8f30c61356df34c7494,2012-06-01,21947,4.0,185,80,99266,19,25,19,1,4,5,2.23592635062903,1.30509793551132,7,0,0.4211876275209693,0.2702255413089853,0.2702255413089853,0.2702255413089853,0.6858454631387728,NON_CRASH
BrandroidTools_OpenExplorer,50db9b467f249dbfadb1fa7d46127a94036994fd,2012-06-03,22017,2.0,6,0,99494,5,5,25,1,1,1,0.0,0.0,1,0,0.444999083692412,0.2032647627749479,0.2032647627749479,0.2032647627749479,0.600664071845662,NON_CRASH
BrandroidTools_OpenExplorer,775985a21a07f0b7d6228cbe50ef2272bdcf9986,2012-06-04,22044,1.0,57,29,99559,5,16,5,1,2,2,1.0,0.159350062685634,2,0,0.3195605677387261,0.1692686039874015,0.1692686039874015,0.1692686039874015,0.5457284101247234,NON_CRASH
BrandroidTools_OpenExplorer,c1f1876d4073d77c22b699a08fe223abebfada1b,2012-06-05,22087,1.0,56,28,99718,7,7,16,1,1,1,0.0,0.0,1,0,0.4999999995337465,0.9990120221267,0.9990120221267,0.9990120221267,0.9998322901911184,NON_CRASH
BrandroidTools_OpenExplorer,91a884dd4b635e6b4b6f3ca9e494ed4ed494da18,2012-06-08,22148,3.0,3229,3180,99970,7,31,7,2,5,5,2.25162916738782,1.05334288792274,6,0,0.4999829049436684,0.1111812318356605,0.1111812318356605,0.1111812318356605,0.4244612408095955,NON_CRASH
